識別ラベル,エピソー�,セクション,ペア,人の平�
2-1-A-B,2,1,A-B,0.323076923
2-2-A-B,2,2,A-B,0.538461539
2-3-A-B,2,3,A-B,0.661538462
2-4-A-B,2,4,A-B,0.6
2-5-A-B,2,5,A-B,0.730769231
2-6-A-B,2,6,A-B,0.807692308
2-1-B-C,2,1,B-C,-0.738461539
2-2-B-C,2,2,B-C,-0.861538462
2-3-B-C,2,3,B-C,-0.646153846
2-4-B-C,2,4,B-C,-0.2
2-5-B-C,2,5,B-C,0.030769231
2-6-B-C,2,6,B-C,0.338461539
2-1-C-A,2,1,C-A,0
2-2-C-A,2,2,C-A,0.061538462
2-3-C-A,2,3,C-A,0.138461539
2-4-C-A,2,4,C-A,0.192307692
2-5-C-A,2,5,C-A,0.4
2-6-C-A,2,6,C-A,0.538461539
