episode_id,mode,topic,topic_trigger,trigger_type,human_utterance_count,robot_utterance_count,early_termination,was_perfect_from_start,final_stable,final_perfect,final_unstable_triads,final_isolated_nodes,duration_seconds,stability_rate,perfection_rate,isolation_occurrence_rate,first_stable_utterance,first_perfect_utterance,robot_interventions_until_first_stable,robot_interventions_until_first_perfect,oscillation_count,consecutive_unstable_max,avg_edge_score,avg_positive_ratio,intervention_success_rate,intervention_reversal_rate,avg_improvement_per_intervention,intervention_frequency,stable_rate_per_intervention,perfect_rate_per_intervention,interventions_per_stable,interventions_per_perfect
1,few_utterances,キャッシュレス決済のメリットとデメリット,お金,all_common,9,14,True,False,True,True,0,0,8.741096,1.0,0.9333333333333333,0.3333333333333333,3,6,0,1,0,0,0.14801587301587305,0.7777777777777777,0.0,0.0,0.0,1.5555555555555556,1.0714285714285714,1.0,0,1
1,proposal,キャッシュレス決済のメリットとデメリット,お金,all_common,21,5,True,False,True,True,0,0,28.059273,0.8666666666666667,0.6666666666666666,0.5714285714285714,3,18,0,5,2,2,-0.07517511252711949,0.5238095238095238,0.6,0.4,0.16463349488124618,0.23809523809523808,2.6,2.0,0,5
1,random_target,キャッシュレス決済のメリットとデメリット,お金,all_common,15,14,True,False,True,True,0,0,15.575526,0.9333333333333333,0.8,0.4,3,12,0,3,2,1,0.15391225423993127,0.6666666666666666,0.0,0.0,0.0,0.9333333333333333,1.0,0.8571428571428571,0,3
2,few_utterances,AIが音楽制作に与える影響,音楽,two_person,45,15,False,False,False,False,1,0,80.07594,0.0,0.0,0.0,0,0,0,0,0,14,0.0840906779135712,0.6444444444444444,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
2,proposal,AIが音楽制作に与える影響,音楽,two_person,18,4,True,False,True,True,0,0,29.156351,0.7333333333333333,0.7333333333333333,0.0,15,15,4,4,1,3,0.31244686339271327,0.7222222222222222,1.0,0.25,0.3093118106617647,0.2222222222222222,2.75,2.75,4,4
2,random_target,AIが音楽制作に与える影響,音楽,two_person,45,15,False,False,True,True,0,0,61.338374,0.06666666666666667,0.06666666666666667,0.0,45,45,14,14,1,13,0.272540383419381,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.06666666666666667,0.06666666666666667,14,14
3,few_utterances,服装で印象はどこまで変わるか,外見,all_common,9,14,True,False,True,True,0,0,9.964756,1.0,0.9333333333333333,0.3333333333333333,3,6,0,1,0,0,0.3910147392290249,0.7777777777777777,0.0,0.0,0.0,1.5555555555555556,1.0714285714285714,1.0,0,1
3,proposal,服装で印象はどこまで変わるか,外見,all_common,45,14,False,False,True,True,0,0,70.696721,0.5333333333333333,0.06666666666666667,0.8666666666666667,3,45,0,14,2,7,-0.26966917244405963,0.26666666666666666,0.42857142857142855,0.14285714285714285,0.0013010683959736927,0.3111111111111111,0.5714285714285714,0.07142857142857142,0,14
3,random_target,服装で印象はどこまで変わるか,外見,all_common,15,14,True,False,True,True,0,0,15.483044,1.0,0.8,0.6,3,12,0,3,0,0,0.2035342813596027,0.6,0.0,0.0,0.0,0.9333333333333333,1.0714285714285714,0.8571428571428571,0,3
4,few_utterances,地域ごとの特色ある温泉文化,温泉,two_person,33,14,True,False,True,True,0,0,55.078351,0.5333333333333333,0.4,0.18181818181818182,15,30,4,9,3,3,0.14893291657653593,0.6363636363636364,0.0,0.0,0.0,0.42424242424242425,0.5714285714285714,0.42857142857142855,4,9
4,proposal,地域ごとの特色ある温泉文化,温泉,two_person,18,4,True,False,True,True,0,0,25.77945,0.7333333333333333,0.7333333333333333,0.0,15,15,4,4,1,3,0.228869173727152,0.7222222222222222,0.75,0.25,0.24436026708477504,0.2222222222222222,2.75,2.75,4,4
4,random_target,地域ごとの特色ある温泉文化,温泉,two_person,24,14,True,False,True,True,0,0,29.205517,0.6,0.6,0.0,21,21,6,6,1,5,0.21182680111968988,0.7083333333333333,0.0,0.0,0.0,0.5833333333333334,0.6428571428571429,0.6428571428571429,6,6
5,few_utterances,現代社会における宗教の役割,宗教,all_common,39,14,True,False,True,True,0,0,65.156755,0.8666666666666667,0.26666666666666666,0.8461538461538461,3,36,0,11,2,2,-0.17556888262512407,0.38461538461538464,0.0,0.0,0.0,0.358974358974359,0.9285714285714286,0.2857142857142857,0,11
5,proposal,現代社会における宗教の役割,宗教,all_common,39,11,True,False,True,True,0,0,67.549162,0.9333333333333333,0.26666666666666666,0.7692307692307693,3,36,0,11,2,1,-0.1757961491658657,0.46153846153846156,0.45454545454545453,0.18181818181818182,0.04917398198657821,0.28205128205128205,1.2727272727272727,0.36363636363636365,0,11
5,random_target,現代社会における宗教の役割,宗教,all_common,45,15,False,False,False,False,1,3,61.696346,0.4,0.0,1.0,3,0,0,0,1,9,-0.5287344367831803,0.13333333333333333,0.0,0.0,0.0,0.3333333333333333,0.4,0.0,0,0.0
6,few_utterances,効率的な勉強法の見つけ方,勉強,two_person,15,14,True,False,True,True,0,0,16.683589,0.8,0.8,0.0,12,12,3,3,1,2,0.3229230662853377,0.8,0.0,0.0,0.0,0.9333333333333333,0.8571428571428571,0.8571428571428571,3,3
6,proposal,効率的な勉強法の見つけ方,勉強,two_person,15,3,True,False,True,True,0,0,16.156108,0.8,0.8,0.0,12,12,3,3,1,2,0.3257402225596121,0.8,1.0,0.3333333333333333,0.36703431372549017,0.2,4.0,4.0,3,3
6,random_target,効率的な勉強法の見つけ方,勉強,two_person,18,14,True,False,True,True,0,0,19.274017,0.7333333333333333,0.7333333333333333,0.0,15,15,4,4,1,3,0.26873132104201436,0.7777777777777777,0.0,0.0,0.0,0.7777777777777778,0.7857142857142857,0.7857142857142857,4,4
7,few_utterances,キャッシュレス決済のメリットとデメリット,お金,all_common,9,14,True,False,True,True,0,0,8.040002,0.9333333333333333,0.9333333333333333,0.3333333333333333,6,6,1,1,0,0,0.06816893424036281,0.6666666666666666,0.0,0.0,0.0,1.5555555555555556,1.0,1.0,1,1
7,proposal,キャッシュレス決済のメリットとデメリット,お金,all_common,18,3,True,False,True,True,0,0,22.615671,0.8,0.8,0.3333333333333333,9,9,2,2,3,1,0.03806446810652789,0.611111111111111,0.6666666666666666,0.6666666666666666,0.2919975435026952,0.16666666666666666,4.0,4.0,2,2
7,random_target,キャッシュレス決済のメリットとデメリット,お金,all_common,12,14,True,False,True,True,0,0,11.161344,0.8666666666666667,0.8666666666666667,0.25,9,9,2,2,1,1,0.025769682873149263,0.6666666666666666,0.0,0.0,0.0,1.1666666666666667,0.9285714285714286,0.9285714285714286,2,2
8,few_utterances,配信サービスが映画業界に与える影響,映画,two_person,24,14,True,False,True,True,0,0,36.139754,0.6,0.6,0.0,21,21,6,6,1,5,0.12543956903769937,0.7083333333333333,0.0,0.0,0.0,0.5833333333333334,0.6428571428571429,0.6428571428571429,6,6
8,proposal,配信サービスが映画業界に与える影響,映画,two_person,21,5,True,False,True,True,0,0,29.181675,0.6666666666666666,0.6666666666666666,0.0,18,18,5,5,1,4,0.13832327857364288,0.7142857142857143,0.8,0.2,0.21375346060515468,0.23809523809523808,2.0,2.0,5,5
8,random_target,配信サービスが映画業界に与える影響,映画,two_person,30,14,True,False,True,True,0,0,36.934229,0.4666666666666667,0.4666666666666667,0.0,27,27,8,8,1,7,0.09986872951111317,0.7,0.0,0.0,0.0,0.4666666666666667,0.5,0.5,8,8
9,few_utterances,宗教と現代社会の価値観の変化,宗教,all_common,45,14,True,False,True,True,0,0,77.31029,0.26666666666666666,0.13333333333333333,0.8,24,42,7,13,5,6,-0.3234843805186159,0.2222222222222222,0.0,0.0,0.0,0.3111111111111111,0.2857142857142857,0.14285714285714285,7,13
9,proposal,宗教と現代社会の価値観の変化,宗教,all_common,27,7,True,False,True,True,0,0,41.881348,0.6666666666666666,0.5333333333333333,0.7777777777777778,18,24,5,7,1,4,-0.347724316084523,0.2962962962962963,0.7142857142857143,0.42857142857142855,0.1890208102378616,0.25925925925925924,1.4285714285714286,1.1428571428571428,5,7
9,random_target,宗教と現代社会の価値観の変化,宗教,all_common,45,15,False,False,True,False,0,1,61.73167,0.4666666666666667,0.0,1.0,18,0,5,0,2,4,-0.3941867463599019,0.15555555555555553,0.0,0.0,0.0,0.3333333333333333,0.4666666666666667,0.0,5,0.0
10,few_utterances,電子書籍と紙の本の違い,読書,two_person,18,14,True,False,True,True,0,0,28.446476,0.7333333333333333,0.7333333333333333,0.0,15,15,4,4,1,3,0.2713298422483631,0.7777777777777777,0.0,0.0,0.0,0.7777777777777778,0.7857142857142857,0.7857142857142857,4,4
10,proposal,電子書籍と紙の本の違い,読書,two_person,12,2,True,False,True,True,0,0,12.955656,0.8666666666666667,0.8666666666666667,0.0,9,9,2,2,1,1,0.39976803221288515,0.8333333333333333,1.0,0.5,0.5510204081632653,0.16666666666666666,6.5,6.5,2,2
10,random_target,電子書籍と紙の本の違い,読書,two_person,15,14,True,False,True,True,0,0,16.209241,0.8,0.8,0.0,12,12,3,3,1,2,0.24734715577407435,0.8,0.0,0.0,0.0,0.9333333333333333,0.8571428571428571,0.8571428571428571,3,3
